Date/Time,LV ActivePower (kW),Wind Speed (m/s),Wind Direction (°),Theoretical_Power_Curve (KWh),
01 01 2018 14:20,1482.459961,8.186451912,238.4790955,1638.508909,
01 01 2018 14:30,1523.430054,8.27493,237.0332031,1691.147039,
01 01 2018 14:40,1572.170044,8.449202538,238.3323975,1796.76309,
01 01 2018 14:50,1698.939941,8.575974464,235.6414032,1875.047197,
01 01 2018 15:00,1616.845947,8.282259941,236.4613953,1695.538777,
01 01 2018 15:10,1796.823975,8.734552383,234.3547974,1974.4758,
01 01 2018 15:20,1885.860962,8.764103889,231.0016022,1993.170712,
01 01 2018 15:30,2327.511963,9.669431686,227.6000977,2568.827129,
01 01 2018 15:40,2499.162109,10.14109039,227.7315979,2876.753616,
01 01 2018 15:50,2820.512939,10.77241993,225.2763977,3186.029883,
01 01 2018 16:00,2812.279053,10.64752007,224.680603,3133.259224,
01 01 2018 16:10,2530.447021,9.982661247,225.5195007,2781.274041,
01 01 2018 16:20,2399.121094,9.874385834,227.2738037,2711.492458,
01 01 2018 16:30,2335.587891,9.785479546,229.2554932,2651.341009,
01 01 2018 16:40,2341.133057,9.614232063,230.7368927,2527.945451,
01 01 2018 16:50,2391.8479,9.618504524,229.490799,2531.14794,
01 01 2018 17:00,2118.389893,9.098683357,223.960907,2207.79282,
01 01 2018 17:10,1866.845947,8.677425385,219.7937012,1938.478601,
01 01 2018 17:20,1865.619019,8.774898529,219.0449066,2000.011716,
01 01 2018 17:30,1862.447998,8.689981461,215.3352051,1946.373955,
01 01 2018 17:40,1884.119019,8.631073952,216.2799988,1909.416256,
01 01 2018 17:50,1855.776978,8.614569664,214.5290985,1899.100734,
01 01 2018 18:00,1958.133057,9.21884346,212.1799011,2285.917032,
01 01 2018 18:10,2228.24292,10.04951954,210.3085938,2822.50949,
01 01 2018 18:20,2529.291016,10.31871033,210.5881042,2974.866796,
01 01 2018 18:30,2788.25708,10.76675987,207.4813995,3183.72246,
01 01 2018 18:40,2692.929932,10.55825043,208.5518951,3093.110672,
01 01 2018 18:50,2535.353027,10.25072002,208.0106964,2938.394607,
01 01 2018 19:00,2584.665039,10.46477032,205.7528992,3048.823833,
01 01 2018 19:10,2960.183105,11.39078045,200.6542969,3393.645541,
01 01 2018 19:20,3062.978027,11.56554031,198.1242981,3437.597135,
01 01 2018 19:30,3024.39209,11.2802496,198.5381927,3362.668742,
01 01 2018 19:40,3187.9729,11.33677959,200.4904022,3378.826271,
01 01 2018 19:50,3387.228027,11.80463982,199.2469025,3488.248491,
01 01 2018 20:00,3209.018066,11.3635397,199.8054962,3386.244486,
01 01 2018 20:10,3272.665039,11.63259029,198.2677002,3452.881108,
01 01 2018 20:20,3209.698975,11.44476032,195.6320038,3407.867876,
01 01 2018 20:30,3134.518066,11.27190018,196.6611023,3360.225775,
01 01 2018 20:40,2977.824951,11.05900955,196.5158997,3292.880925,
01 01 2018 20:50,3431.772949,12.10377979,198.2570038,3537.173706,
01 01 2018 21:00,3604.209961,12.92813969,201.5825958,3597.469467,
01 01 2018 21:10,3601.327881,13.31941986,201.9421997,3600,
01 01 2018 21:20,3604.426025,13.12152004,203.5077972,3600,
01 01 2018 21:30,3604.391113,13.23544979,202.6929932,3600,
01 01 2018 21:40,3604.337891,13.23589993,202.9362946,3600,
01 01 2018 21:50,3554.687988,13.02956009,201.2539063,3600,
01 01 2018 22:00,3479.407959,12.96393967,201.3408966,3597.794635,
01 01 2018 22:10,3472.333008,12.90295029,200.9795074,3597.13106,
01 01 2018 22:20,3491.510986,12.76634026,200.9960022,3593.704942,
01 01 2018 22:30,3536.989014,12.89834976,200.5142059,3597.059449,
01 01 2018 22:40,3528.658936,12.74211025,202.8952942,3592.814313,
01 01 2018 22:50,3581.540039,12.31826019,202.841095,3562.990095,
01 01 2018 23:00,3570.079102,12.41880989,202.4118042,3572.556143,
01 01 2018 23:10,3597.604004,12.54298973,201.6253052,3582.204643,
01 01 2018 23:20,3441.025879,12.67599964,199.3220978,3589.945634,
01 01 2018 23:30,3373.969971,13.00304985,197.1307068,3600,
01 01 2018 23:40,3369.812988,13.29767036,196.4936066,3600,
01 01 2018 23:50,3375.903076,12.84405994,195.3150024,3595.984792,
02 01 2018 00:00,3377.649902,12.70538998,196.0422058,3591.300461,
02 01 2018 00:10,3374.423096,12.1833601,197.7438965,3547.627655,
02 01 2018 00:20,3401.081055,12.20514011,196.8088074,3550.307222,
02 01 2018 00:30,3469.412109,12.60188007,193.8157043,3585.959181,
02 01 2018 00:40,3511.809082,12.84455013,194.3466034,3595.996394,
02 01 2018 00:50,3536.759033,12.49705982,196.009201,3578.911555,
02 01 2018 01:00,3467.808105,12.09607029,197.9526978,3536.105139,
02 01 2018 01:10,3460.677002,12.19612026,201.330307,3549.206917,
02 01 2018 01:20,3589.443115,12.55035019,201.1882019,3582.702554,
02 01 2018 01:30,3527.718994,12.6156702,202.6235962,3586.762967,
02 01 2018 01:40,3561.26709,13.10278034,201.7666016,3600,
02 01 2018 01:50,3604.068115,13.68774986,199.0195007,3600,
02 01 2018 02:00,3604.176025,14.10241985,196.2552032,3600,
02 01 2018 02:10,3593.200928,14.39330959,195.8798981,3600,
02 01 2018 02:20,3493.821045,14.07954979,197.6403046,3600,
02 01 2018 02:30,3470.701904,14.05440044,197.2447968,3600,
02 01 2018 02:40,3436.610107,13.51247025,195.9954071,3600,
02 01 2018 02:50,3401.455078,13.71004963,192.4197998,3600,
02 01 2018 03:00,3395.23291,13.7423296,191.0137024,3600,
02 01 2018 03:10,3417.503906,13.14186001,192.2046967,3600,
02 01 2018 03:20,3465.108887,12.86771011,192.771698,3596.50506,
02 01 2018 03:30,3467.417969,12.84727001,192.4705048,3596.060138,
02 01 2018 03:40,3522.406982,12.73211002,192.5679016,3592.421666,
02 01 2018 03:50,3510.10791,12.51620007,194.9992065,3580.322941,
02 01 2018 04:00,3513.844971,12.59866047,196.0422974,3585.767414,
02 01 2018 04:10,3564.008057,13.23031998,196.4087982,3600,
02 01 2018 04:20,3475.278076,13.0946703,198.5249939,3600,
02 01 2018 04:30,3561.990967,12.91687965,198.0101013,3597.329407,
02 01 2018 04:40,3521.554932,12.63354969,197.6634979,3587.762741,
02 01 2018 04:50,3493.60791,12.82567024,201.1040955,3595.524457,
02 01 2018 05:00,3555.304932,12.54162025,200.3634033,3582.111096,
02 01 2018 05:10,3377.12793,12.10496998,196.9826965,3537.337786,
02 01 2018 05:20,3479.626953,12.36250019,199.798996,3567.394707,
02 01 2018 05:30,3539.112061,12.60391045,201.2702942,3586.079315,
02 01 2018 05:40,3430.436035,12.21222019,198.9846039,3551.161616,
02 01 2018 05:50,3301.917969,11.98762035,202.5711975,3520.011831,
02 01 2018 06:00,3235.543945,11.67932987,200.7035065,3463.031603,
02 01 2018 06:10,3519.022949,12.46971989,197.8733978,3576.798254,
02 01 2018 06:20,3469.537109,12.49489975,201.1011047,3578.748756,
02 01 2018 06:30,3296.186035,11.78983021,200.3565979,3485.417643,
02 01 2018 06:40,3045.51001,10.90355015,199.4629059,3237.314957,
02 01 2018 06:50,3444.741943,12.18807983,202.7460022,3548.214895,
02 01 2018 07:00,3417.746094,11.97813034,199.4022064,3518.508247,
02 01 2018 07:10,2807.613037,10.67446995,197.2297058,3144.977295,
02 01 2018 07:20,2493.393066,9.69664669,200.3191986,2588.59196,
02 01 2018 07:30,3215.196045,11.41759014,200.488205,3400.782508,
02 01 2018 07:40,3589.590088,12.68927002,199.5281067,3590.573175,
02 01 2018 07:50,3599.149902,13.05860043,200.6078033,3600,
02 01 2018 08:00,3375.177002,11.52081966,195.8547058,3426.922472,
02 01 2018 08:10,3346.980957,11.51231003,197.7467041,3424.84719,
02 01 2018 08:20,3567.967041,12.41629982,199.1638031,3572.336603,
02 01 2018 08:30,3519.264893,12.16014957,198.3968964,3544.686608,
02 01 2018 08:40,3485.191895,11.67107964,194.6569977,3461.269666,
02 01 2018 08:50,3145.562988,11.14585972,195.8325043,3321.545696,
02 01 2018 09:00,2978.310059,10.77289963,193.1703949,3186.225079,
02 01 2018 09:10,3179.008057,10.92975998,195.0997009,3247.07462,
02 01 2018 09:20,3461.581055,12.14006042,198.2947998,3542.069502,
02 01 2018 09:30,3082.549072,11.19556046,200.7570038,3337.205225,
02 01 2018 09:40,3493.657959,12.94869041,204.0805969,3597.678446,
02 01 2018 09:50,3601.045898,14.87942982,197.5942993,3600,
02 01 2018 10:00,3597.564941,15.12405968,196.3455963,3600,
02 01 2018 10:10,3602.172119,16.29367065,196.8367004,3600,
02 01 2018 10:20,3601.99292,16.12397957,192.2306061,3600,
02 01 2018 10:30,3600.791016,15.27460003,190.949295,3600,
02 01 2018 10:40,3590.75,13.56672001,192.9456024,3600,
02 01 2018 10:50,3601.845947,15.36779976,194.7528076,3600,
02 01 2018 11:00,3601.870117,15.86174965,195.0402985,3600,
02 01 2018 11:10,3591.655029,14.92051029,197.9895935,3600,
02 01 2018 11:20,3579.024902,13.60853004,201.4945068,3600,
02 01 2018 11:30,3598.131104,14.46385956,200.4884033,3600,
02 01 2018 11:40,3525.333008,12.68828964,202.2259979,3590.527705,
02 01 2018 11:50,3560.699951,13.55690002,202.153595,3600,
02 01 2018 12:00,3537.676025,13.32281017,203.2893982,3600,
02 01 2018 12:10,3491.291016,12.60700989,201.0937042,3586.261512,
02 01 2018 12:20,3530.766113,12.31476021,197.5440979,3562.628404,
02 01 2018 12:30,2915.839111,10.3801899,200.9197998,3006.71767,
02 01 2018 12:40,2178.658936,9.11702919,201.0245056,2219.691985,
02 01 2018 12:50,2244.412109,9.253190994,198.9759979,2308.322526,
02 01 2018 13:00,1278.89502,9.072306633,198.2364044,2190.704763,
02 01 2018 13:10,2832.934082,10.34463024,196.6472015,2988.424599,
02 01 2018 13:20,3205.9729,11.10330963,200.1464996,3307.71074,
02 01 2018 13:30,3149.284912,11.06910992,198.8968048,3296.300642,
02 01 2018 13:40,3273.656006,11.32581043,201.1446075,3375.742901,
02 01 2018 13:50,3114.099121,11.01513958,204.9272003,3277.761152,
02 01 2018 14:00,3111.060059,10.90725994,204.813797,3238.706158,
02 01 2018 14:10,3361.011963,11.76941013,209.778595,3481.44923,
02 01 2018 14:20,3421.419922,11.87483025,209.6006012,3501.130346,
02 01 2018 14:30,3520.148926,12.16926003,208.3181,3545.851555,
02 01 2018 14:40,3589.427002,12.82061958,211.1817932,3595.389466,
02 01 2018 14:50,3495.115967,12.57161999,209.4647064,3584.095307,
02 01 2018 15:00,3298.761963,11.39929962,205.625,3395.929165,
02 01 2018 15:10,2894.440918,10.54543018,200.6107025,3087.174334,
02 01 2018 15:20,3486.628906,12.30932999,202.0561981,3562.063389,
02 01 2018 15:30,3455.24707,12.1683197,203.7207031,3545.731948,
02 01 2018 15:40,3556.785889,12.28707981,204.6085968,3559.699203,
02 01 2018 15:50,3375.582031,12.01319027,201.7415009,3523.986209,
02 01 2018 16:00,3493.979004,12.21352959,201.7156067,3551.318734,
02 01 2018 16:10,3549.147949,12.93774033,199.9685059,3597.57459,
02 01 2018 16:20,3483.315918,13.66942024,203.870697,3600,
02 01 2018 16:30,3589.858887,13.69785976,204.8023071,3600,
02 01 2018 16:40,3584.235107,12.75835991,202.6508026,3593.421089,
02 01 2018 16:50,3599.008057,12.76517963,201.2570953,3593.664238,
02 01 2018 17:00,3602.637939,13.07721996,203.4407043,3600,
02 01 2018 17:10,3550.563965,12.59340954,205.1535034,3585.451317,
02 01 2018 17:20,3552.782959,12.51366997,205.008194,3580.139581,
02 01 2018 17:30,3585.010986,12.53439999,204.1203003,3581.613183,
02 01 2018 17:40,3421.176025,11.96442986,201.9989014,3516.3102,
02 01 2018 17:50,3406.040039,11.94577026,194.3786926,3513.264349,
02 01 2018 18:00,3515.610107,12.20707989,189.5238037,3550.542117,
02 01 2018 18:10,3515.965088,12.2751503,190.5794983,3558.399068,
02 01 2018 18:20,3475.418945,12.72264004,187.6125031,3592.036307,
02 01 2018 18:30,3471.156982,12.26537037,189.4371948,3557.31619,
02 01 2018 18:40,3281.754883,11.70368958,192.2619019,3468.159913,
02 01 2018 18:50,2955.11499,10.96352959,190.4571991,3259.412905,
02 01 2018 19:00,3061.735107,11.29796982,192.8582001,3367.805139,
02 01 2018 19:10,2679.110107,10.66594982,194.0843964,3141.292611,
02 01 2018 19:20,2721.081055,10.8332901,195.2017975,3210.350601,
02 01 2018 19:30,2649.136963,10.57837009,195.3432007,3102.339998,
02 01 2018 19:40,2707.74292,10.38854027,201.797699,3010.962279,
02 01 2018 19:50,2508.832031,10.08041954,204.2073975,2841.099422,
02 01 2018 20:00,2316.647949,9.838738441,199.747406,2687.688082,
02 01 2018 20:10,3081.542969,11.43999958,200.2402954,3406.637064,
02 01 2018 20:20,3397.638916,11.94402981,201.1663971,3512.977172,
02 01 2018 20:30,3391.716064,11.85929012,201.7106018,3498.353994,
02 01 2018 20:40,3587.510986,12.81147957,201.3484955,3595.135782,
02 01 2018 20:50,3603.112061,12.91353989,201.6768951,3597.284381,
02 01 2018 21:00,3591.093018,12.72832012,202.4132996,3592.269026,
02 01 2018 21:10,3221.044922,11.66357994,202.6618958,3459.656972,
02 01 2018 21:20,2887.733887,11.0952301,204.061203,3305.038612,
02 01 2018 21:30,2364.534912,10.16094971,203.3379059,2888.183469,
02 01 2018 21:40,1935.847046,9.202415466,197.8013,2275.211448,
02 01 2018 21:50,1549.480957,8.539284706,195.5061035,1852.273851,
02 01 2018 22:00,1625.755981,8.809141159,187.4846039,2021.754239,
02 01 2018 22:10,1994.222046,9.608460426,188.0238953,2523.60898,
02 01 2018 22:20,2362,9.844923973,190.6604004,2691.848533,
02 01 2018 22:30,2097.771973,9.338670731,196.7335968,2364.198743,
02 01 2018 22:40,1564.590942,8.424916267,197.0158997,1781.899877,
02 01 2018 22:50,1107.474976,7.656233788,188.6903992,1339.713949,
02 01 2018 23:00,1303.116943,8.144581795,181.6596069,1613.847713,
02 01 2018 23:10,1561.182007,8.54713726,173.5366974,1857.140175,
02 01 2018 23:20,1544.999023,8.381804466,171.3834076,1755.627598,
02 01 2018 23:30,1456.738037,7.850449085,179.8197937,1445.553534,
02 01 2018 23:40,1795.644043,8.656551361,188.2382965,1925.374082,
02 01 2018 23:50,2773.291016,10.92311954,179.039093,3244.617174,
03 01 2018 00:00,2782.568115,10.4051199,176.9255981,3019.332696,
03 01 2018 00:10,2446.424072,9.498130798,174.677002,2468.761378,
03 01 2018 00:20,3412.39209,11.93025017,180.6725006,3510.684928,
03 01 2018 00:30,3255.337891,11.07629013,183.8755035,3298.717792,
03 01 2018 00:40,2796.876953,10.45788002,192.1911011,3045.466801,
03 01 2018 00:50,2467.954102,9.791149139,197.104599,2655.255241,
03 01 2018 01:00,1278.886963,7.626486778,202.940506,1323.911052,
03 01 2018 01:10,1042.537964,7.287635803,207.3871002,1150.913828,
03 01 2018 01:20,609.0761719,6.228209019,216.9989014,703.7205269,
03 01 2018 01:30,175.4407043,4.47162199,222.5090942,216.0170723,
03 01 2018 01:40,112.1109009,4.127829075,215.4514008,147.1041396,
03 01 2018 01:50,271.9171143,5.032844067,202.5102997,344.1094784,
03 01 2018 02:00,737.4487915,6.267045021,211.2003021,717.8434981,
03 01 2018 02:10,1375.579956,7.763337135,193.6107025,1397.52319,
03 01 2018 02:20,1520.890015,8.21955204,172.135498,1658.119112,
03 01 2018 02:30,1349.112061,7.974888802,168.3569031,1515.649475,
03 01 2018 02:40,889.1298218,6.794364929,171.1295013,926.0444806,
03 01 2018 02:50,412.115509,5.536108017,162.7037964,479.4472407,
03 01 2018 03:00,444.6036072,5.491714954,150.2816925,466.6197137,
03 01 2018 03:10,655.7307129,6.076754093,149.6408997,650.187023,
03 01 2018 03:20,882.5654297,6.69093895,152.2225037,882.7282325,
03 01 2018 03:30,998.3845825,6.848011971,157.1643066,949.0116113,
03 01 2018 03:40,1193.395996,7.759384155,152.699707,1395.364787,
03 01 2018 03:50,1122.712036,7.417626858,152.076004,1215.659509,
03 01 2018 04:00,1214.125977,7.472226143,154.7837982,1243.600054,
03 01 2018 04:10,1086.307007,7.080772877,160.2183075,1052.768027,
03 01 2018 04:20,1060.603027,7.053721905,165.8153992,1040.356847,
03 01 2018 04:30,1451.713989,7.766314983,170.8444977,1399.150382,
03 01 2018 04:40,1361.459961,7.833246231,173.0240936,1435.998878,
03 01 2018 04:50,1490.569946,7.959300995,173.9763947,1506.776853,
03 01 2018 05:00,1153.139038,7.283742905,176.7931976,1149.012424,
03 01 2018 05:10,953.9760132,7.001252174,178.0930023,1016.552582,
03 01 2018 05:20,799.0856934,6.758135796,174.0330048,910.7282546,
03 01 2018 05:30,616.2548218,6.179992199,167.9960022,686.4114027,
03 01 2018 05:40,646.9244995,6.301719189,168.8119965,730.5901706,
03 01 2018 05:50,1323.682007,7.517776966,184.7017975,1267.134969,
03 01 2018 06:00,1568.885986,8.094202995,194.0092926,1584.395551,
03 01 2018 06:10,1580.902954,7.854953766,197.8014984,1448.061049,
03 01 2018 06:20,1495.180054,7.719468117,191.2086945,1373.675076,
03 01 2018 06:30,2063.868896,8.847901344,195.0639038,2046.438946,
03 01 2018 06:40,2368.76001,9.631019592,198.074707,2540.491731,
03 01 2018 06:50,2516.419922,9.767664909,191.838501,2638.971731,
03 01 2018 07:00,2108.770996,9.185004234,190.0070038,2263.873095,
03 01 2018 07:10,2568.111084,9.927650452,179.3226929,2746.29034,
03 01 2018 07:20,3445.219971,12.03275967,175.9355011,3526.952507,
03 01 2018 07:30,2994.106934,10.87308979,180.7583008,3225.769174,
03 01 2018 07:40,2594.937012,10.38061047,177.4212036,3006.931915,
03 01 2018 07:50,2326.825928,10.34302044,164.6313934,2987.588083,
03 01 2018 08:00,1941.463989,9.283791542,157.3659973,2328.307526,
03 01 2018 08:10,1581.487061,8.263951302,151.1777039,1684.577838,
03 01 2018 08:20,1013.286987,7.161077023,144.4230042,1090.179344,
03 01 2018 08:30,375.6176147,5.502151966,145.3318024,469.6191644,
03 01 2018 08:40,198.1511993,4.645584106,155.7653046,253.4672425,
03 01 2018 08:50,87.44045258,3.847867012,162.271698,100.642022,
03 01 2018 09:00,189.1378021,4.553710938,148.0536041,233.4558636,
03 01 2018 09:10,434.4317932,5.735952854,136.6712036,539.5070619,
03 01 2018 09:20,336.5007935,5.057969093,139.4640045,350.3694191,
03 01 2018 09:30,296.6101074,4.922440052,141.7938995,317.1718028,
03 01 2018 09:40,92.9240036,3.821350098,148.5747986,96.25248176,
03 01 2018 09:50,85.70230103,3.580841064,165.8957062,61.57702143,
03 01 2018 10:00,309.5114136,4.716145039,187.6051941,269.2057367,
03 01 2018 10:10,381.1726074,5.080855846,188.4362946,356.114453,
03 01 2018 10:20,417.2662964,5.343267918,202.2389984,425.0226087,
03 01 2018 10:30,446.343811,5.452712059,201.0330963,455.4989836,
03 01 2018 10:40,206.6020966,4.29698801,191.4851074,180.2207304,
03 01 2018 10:50,251.3757019,4.736260891,183.4333954,273.7530825,
03 01 2018 11:00,275.0136108,4.780562878,187.9405975,283.8646662,
03 01 2018 11:10,314.2744141,4.894141197,180.8480072,310.4131199,
03 01 2018 11:20,238.7823029,4.487487793,185.8578033,219.355975,
03 01 2018 11:30,409.0264893,5.314783096,180.8168945,417.2631565,
03 01 2018 11:40,506.4703064,5.711400986,186.1788025,531.9193571,
03 01 2018 11:50,427.9566956,5.374886036,196.3742065,433.7182755,
03 01 2018 12:00,952.2675781,6.895505905,193.9367065,969.6346499,
03 01 2018 12:10,1019.905029,7.240921021,187.7236023,1128.237686,
03 01 2018 12:20,1015.357971,6.709988117,185.273407,890.6123118,
03 01 2018 12:30,979.7229004,6.851963043,183.7971039,950.7168123,
03 01 2018 12:40,379.4078979,5.078312874,185.1383972,355.4740901,
03 01 2018 12:50,841.5977783,6.521288872,189.263504,814.34348,
03 01 2018 13:00,672.6187744,6.171179771,189.2765045,683.2747912,
03 01 2018 13:10,452.0786133,5.449243069,190.636795,454.5165791,
03 01 2018 13:20,558.9979248,5.851128101,196.9326935,575.9105762,
03 01 2018 13:30,331.7192993,5.094088078,193.4658051,359.454764,
03 01 2018 13:40,212.1006927,4.598594189,197.9337006,243.1654974,
03 01 2018 13:50,79.72102356,3.629702091,199.7156067,67.87244481,
03 01 2018 14:00,183.0128021,4.472650051,205.3706055,216.232972,
03 01 2018 14:10,279.1960144,4.918616772,204.3323059,316.2552558,
03 01 2018 14:20,460.2166138,5.625835896,209.3771057,505.9378767,
03 01 2018 14:30,647.7111206,6.316774845,211.6537018,736.1652234,
03 01 2018 14:40,685.0780029,6.237164974,212.0509033,706.9630418,
03 01 2018 14:50,709.8339844,6.449378014,211.607605,786.3313199,
03 01 2018 15:00,493.3555908,5.782717228,212.3511047,554.1258994,
03 01 2018 15:10,366.0793152,5.346119881,216.8318024,425.803377,
03 01 2018 15:20,183.0379028,4.379333019,220.0410004,196.8860292,
03 01 2018 15:30,7.347679138,3.011370897,238.6905975,16.3742125,
03 01 2018 15:40,0,3.743307114,245.0682068,83.98626485,
03 01 2018 15:50,12.34420013,3.24625206,238.0765076,28.73127208,
03 01 2018 16:00,-0.3930675983,2.185888052,238.4102936,0,
03 01 2018 16:10,0,2.142015934,234.7624054,0,
03 01 2018 16:20,0,2.501405954,223.3088074,0,
03 01 2018 16:30,0,2.668577909,226.0516968,0,
03 01 2018 16:40,0,3.034003019,221.0865021,17.18059304,
03 01 2018 16:50,0,3.197354078,232.6795959,25.43122108,
03 01 2018 17:00,0,3.907810926,241.9730988,110.9796039,
